File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1_gr_e01,A,0,0.027,0.036,0.084,0.205,1,0.063,0.049,0.112,0.262,1,0.022,0.048,0.108,0.187,1,0.052,0.065,0.12,0.208,0.88,0.065,0.076,0.113,0.159,0.501
o1_gr_e02,A,0,0.054,0.019,0.065,0.149,0.895,0.055,0.041,0.078,0.202,0.778,0.02,0.044,0.08,0.162,0.44,0.055,0.067,0.107,0.178,0.46,0.097,0.092,0.121,0.152,0.284
o1_gr_e03,A,0,0.074,0.067,0.079,0.16,0.517,0.05,0.065,0.094,0.181,0.49,0.02,0.05,0.073,0.139,0.249,0.052,0.051,0.07,0.117,0.192,0.081,0.08,0.067,0.097,0.157
o1_gr_e04,A,0,0.044,0.066,0.075,0.118,1,0.045,0.058,0.079,0.15,0.454,0.018,0.049,0.047,0.098,0.26,0.04,0.052,0.05,0.084,0.237,0.048,0.079,0.087,0.079,0.172
o1_gr_e05,A,0,0.049,0.05,0.08,0.126,0.482,0.046,0.048,0.072,0.161,0.26,0.017,0.039,0.057,0.11,0.212,0.052,0.053,0.047,0.089,0.267,0.085,0.083,0.084,0.069,0.215
o1_gr_e06,A,0,0.069,0.077,0.075,0.125,0.45,0.05,0.065,0.072,0.135,0.413,0.017,0.05,0.047,0.102,0.278,0.041,0.053,0.043,0.062,0.261,0.072,0.084,0.075,0.059,0.177
o1_gr_e07,A,0,0.027,0.064,0.134,0.174,0.472,0.057,0.074,0.135,0.224,0.523,0.046,0.062,0.125,0.207,0.735,0.068,0.066,0.14,0.234,1,0.057,0.075,0.123,0.244,1
o1_gr_e08,A,0,0.046,0.056,0.084,0.111,0.166,0.042,0.051,0.068,0.126,0.171,0.019,0.042,0.071,0.145,0.249,0.049,0.057,0.096,0.177,0.371,0.07,0.064,0.106,0.148,0.487
o1_gr_e09,A,0,0.055,0.056,0.093,0.088,0.15,0.045,0.053,0.073,0.088,0.155,0.02,0.043,0.068,0.111,0.245,0.043,0.054,0.098,0.175,0.348,0.062,0.062,0.105,0.154,0.555
o1_gr_e10,A,0,0.07,0.09,0.112,0.148,1,0.072,0.065,0.114,0.167,1,0.025,0.05,0.092,0.17,1,0.053,0.049,0.106,0.145,0.665,0.061,0.056,0.117,0.213,0.562
o1_gr_e11,A,0,0.057,0.06,0.093,0.159,1,0.064,0.083,0.122,0.202,1,0.024,0.06,0.093,0.28,1,0.049,0.065,0.114,0.259,1,0.061,0.077,0.144,0.255,1
o1_gr_e12,A,0,0.055,0.047,0.063,0.168,1,0.052,0.061,0.096,0.189,1,0.02,0.049,0.078,0.17,1,0.057,0.046,0.086,0.132,0.445,0.073,0.069,0.098,0.14,0.347
o2_gr_e01,C,2,1,0.559,0.44,1,1,0.105,0.112,0.112,0.375,1,0.033,0.054,0.087,0.142,0.435,1,0.716,0.177,0.151,0.17,1,1,1,0.905,0.426
o2_gr_e02,C,2,0.384,0.249,0.234,0.23,1,0.113,0.093,0.084,0.146,1,0.039,0.054,0.081,0.206,0.522,1,0.89,0.367,0.226,0.358,1,1,1,0.51,0.715
o2_gr_e03,C,2,0.91,0.556,0.25,1,1,0.1,0.109,0.114,0.332,1,0.038,0.072,0.093,0.181,0.421,1,1,0.407,0.179,0.211,1,1,1,1,0.691
o2_gr_e04,B,1,1,1,1,1,1,1,0.743,0.735,1,1,0.036,0.078,0.093,0.152,0.08,1,1,1,1,0.37,1,1,1,1,1
o2_gr_e05,X,3,1,1,1,1,1,1,1,1,1,1,0.033,0.063,0.107,0.155,0.133,0.109,0.163,1,1,1,1,1,1,1,1
o2_gr_e06,X,3,1,1,1,1,1,1,1,1,1,0.555,0.033,0.066,0.127,0.167,0.123,0.113,0.183,0.89,1,1,1,1,1,1,1
